id,name,playingRoles,teamId,teamName,match,wickets,economy,five_wicket,bolwing_strike_rate,best_bolling_performance,runs,batting_avg,high_score,batting_strike_rate,bowling_avg,credit,image_url
669365,PD Salt,wicketkeeper,335971,KKR,43,0,,,,,1193,34.08,119,164.32,,9,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/383100/383141.1.png"
422108,KL Rahul,wicketkeeper,1298768,LSG,72,0,,,,,2265,37.75,110*,139.12,,8,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/319900/319942.3.png"
1244751,Arshad Khan,bowler,1298768,LSG,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/378100/378129.1.png"
1151270,A Badoni,batsmen,1298768,LSG,0,0,,,,,,,,,,8,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/392000/392090.5.png"
379143,Q de Kock,wicketkeeper,1298768,LSG,92,0,,,,,2584,31.51,100,138.32,,9,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/316600/316668.1.png"
424377,K Gowtham,allrounder,1298768,LSG,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/392800/392891.5.png"
506612,MJ Henry,bowler,1298768,LSG,21,27,8.29,0,17.1,3/32,24,6,12,88.88,23.66,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/383100/383178.1.png"
497121,DJ Hooda,allrounder,1298768,LSG,21,6,4.8,1,15.8,4/10,368,30.66,104,147.2,12.66,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/345000/345083.1.png"
1356971,S Joseph,bowler,1298768,LSG,9,10,9.67,0,16.8,3/31,5,,5*,125,27.1,6,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/388400/388426.5.png"
1403153,AA Kulkarni,allrounder,1298768,LSG,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/387900/387916.5.png"
956871,PN Mankad,allrounder,1298768,LSG,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/378100/378128.1.png"
348056,KR Mayers,allrounder,1298768,LSG,38,0,9.5,0,,,762,21.77,73,138.29,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/322000/322024.1.png"
31107,A Mishra,bowler,1298768,LSG,10,16,6.31,0,14.2,3/24,0,,0,,15,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/323000/323053.1.png"
1132005,Mohsin Khan,bowler,1298768,LSG,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/386300/386359.5.png"
793447,Naveen-ul-Haq,bowler,1298768,LSG,48,67,7.78,2,14.4,4/20,44,4.88,13,67.69,18.73,8,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/383200/383238.1.png"
1119026,D Padikkal,batsmen,1298768,LSG,2,0,,,,,38,19,29,100,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/322200/322229.1.png"
471342,KH Pandya,allrounder,1298768,LSG,19,15,8.1,1,27.3,4/36,124,24.8,26*,130.52,36.93,8,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/322600/322614.1.png"
604302,N Pooran,wicketkeeper,1298768,LSG,106,0,,,,,2275,26.14,98,136.39,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/320100/320109.2.png"
1175441,Ravi Bishnoi,bowler,1298768,LSG,42,61,7.35,2,15.8,4/13,55,7.85,9*,130.95,19.37,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/337100/337188.1.png"
1151286,M Siddharth,bowler,1298768,LSG,0,0,,,,,,,,,,7,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/330900/330975.4.jpg"
325012,MP Stoinis,allrounder,1298768,LSG,74,45,8.72,1,16.6,4/23,1245,31.92,78,148.56,24.24,8,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/321500/321596.2.png"
